winner_player_id,loser_player_id,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,match_id
k181,s351,2,1,13,11,0,0,1991-7308-k181-s351
s351,c243,2,0,13,10,1,0,1991-7308-s351-c243
k181,l206,2,0,13,9,0,0,1991-7308-k181-l206
c243,s367,2,0,13,9,1,0,1991-7308-c243-s367
s351,a031,2,1,15,12,0,0,1991-7308-s351-a031
k181,s424,2,0,12,3,0,0,1991-7308-k181-s424
l206,k030,2,1,16,15,1,0,1991-7308-l206-k030
c243,h223,2,0,12,8,0,0,1991-7308-c243-h223
k181,g182,2,1,16,8,0,0,1991-7308-k181-g182
s351,b051,2,0,13,6,0,0,1991-7308-s351-b051
k030,w136,2,0,13,7,0,0,1991-7308-k030-w136
a031,s331,2,0,12,6,0,0,1991-7308-a031-s331
l206,z006,2,0,14,12,2,0,1991-7308-l206-z006
s424,r023,2,0,14,11,1,0,1991-7308-s424-r023
s367,w035,2,1,16,13,0,0,1991-7308-s367-w035
l206,b028,2,1,16,16,1,0,1991-7308-l206-b028
c243,m093,2,1,15,9,0,0,1991-7308-c243-m093
a031,s055,2,0,10,6,1,0,1991-7308-a031-s055
r023,b350,2,0,13,8,0,0,1991-7308-r023-b350
g182,f028,2,0,12,5,0,0,1991-7308-g182-f028
s351,f031,2,0,12,8,0,0,1991-7308-s351-f031
w035,k016,2,0,13,8,1,0,1991-7308-w035-k016
w136,r186,2,0,13,7,1,0,1991-7308-w136-r186
b051,s443,2,1,19,17,1,1,1991-7308-b051-s443
h223,p014,2,1,15,9,0,0,1991-7308-h223-p014
k030,p004,2,0,12,4,0,0,1991-7308-k030-p004
k181,r193,2,0,12,4,0,0,1991-7308-k181-r193
s424,c028,2,0,12,5,0,0,1991-7308-s424-c028
s367,j008,2,0,13,9,1,0,1991-7308-s367-j008
s331,e106,2,0,12,7,0,0,1991-7308-s331-e106
z006,k021,2,1,16,15,1,0,1991-7308-z006-k021
f164,j084,3,0,18,9,0,0,1991-354-f164-j084
f164,b040,2,1,18,16,1,0,1991-354-f164-b040
j084,c009,2,1,18,16,1,0,1991-354-j084-c009
f164,k024,2,1,18,16,0,0,1991-354-f164-k024
c009,h029,2,0,13,9,1,0,1991-354-c009-h029
b040,p198,2,0,13,8,1,0,1991-354-b040-p198
j084,s102,2,0,12,4,0,0,1991-354-j084-s102
f164,v002,2,0,12,4,0,0,1991-354-f164-v002
k024,m035,2,0,13,6,0,0,1991-354-k024-m035
c009,z045,2,0,12,4,0,0,1991-354-c009-z045
s102,a028,2,0,12,6,0,0,1991-354-s102-a028
p198,s015,2,0,12,6,0,0,1991-354-p198-s015
b040,m048,2,0,12,5,0,0,1991-354-b040-m048
h029,w011,2,0,12,6,0,0,1991-354-h029-w011
j084,o076,2,0,12,4,0,0,1991-354-j084-o076
b040,c260,2,0,14,12,2,0,1991-354-b040-c260
j084,v037,2,0,12,6,0,0,1991-354-j084-v037
f164,h228,2,0,13,7,0,0,1991-354-f164-h228
